category,dish_name,serving_size,preparation_time,ingredients,steps
main course,كسكسي بالعصبان,,,"1 كغ كسكسي,حسب الحاجة  عصبان,2 عدد بصل,3 عدد بطاطا,2 عدد جزر,2 عدد قرع أخضر,100 غ حمص منفخ,حسب الحاجة  فلفل أخضر,4 ملعقة كبيرة طماطم معجونة,2 ملعقة صغيرة ملح,3 ملعقة صغيرة فلفل زينة,قليل  فلفل أسود,حسب الحاجة  زيت,حسب الحاجة  ماء","نقلي الطماطم والزيت وشوية ماء والبصل والحمص والبهارات في مقفول ثم نمرق بالماء الساخن. وبعد ما تغلي المرقة نضع العصبان والجزر.,نرش الكسكسي بالماء ونضعه في الكسكاس فوق المقفول.,بعد أن يفور الكسكسي نفرغه في وعاء ونرشه بالماء مرة أخرى. نضع البطاطا والقرع في المرقة ونرجع الكسكسي للكسكاس. وبعد أن يفور للمرة الثانية نسقيه بالمرقة ونضع الكسكسي في صحن مع العصبان والخضر وفلفل مقلي."
main course,مقرونة جارية,,,"0.5 كغ معكرونة,0.5 كغ لحم ضاني,1 عدد طماطم مبشورة,1 عدد بصلة,1 عدد فلفل,1 كوب ماء,قليل  زيت,1 ملعقة صغيرة صلصة,حسب الحاجة  ملح,حسب الحاجة  فلفل أسود,حسب الحاجة  جزر,حسب الحاجة  بطاطس,حسب الحاجة  حمص","نشوح اللحمة في الزيت على النار ونضيف عليه الفلفل الأسود وقرن الشطة.,نضيف البصلة ونشوحها مع اللحمة.,نضيف الطماطم وملعقة الصلصة، ثم نضيف الماء ونتركها على النار حتى تستوي اللحمة.,نضيف المعكرونة بعد أن تستوي اللحمة، ثم نضيف الخضار والمعكرونة من الكيس ونظبط الملح.,نقلب المعكرونة ونخفف الحرارة حتى تستوي المعكرونة. تجنب أن تكون المعكرونة جافة أو سائحة.,قدّم الطبق ساخنًا مع السلطة."
soup,العدس التونسية بالدجاج,,,"500 غ دجاج مقطع قطعًا صغيرة,2 كوب عدس بني منقوع,6 كوب ماء,1 عدد بصل مفروم ناعم,1 عدد جزر مقطع مكعبات صغيرة,2 ورق ورق لورا,3 ملاعقة كبيرة زيت نباتي,1 ملعقة صغيرة ثوم مفروم,0.5 ملعقة صغيرة توابل رأس الحانوت ,0.5 ملعقة صغيرة كروية,0.5 ملعقة صغيرة بابريكا,0.5 ملعقة صغيرة كركم,حسب الذوق  ملح,حسب الذوق  فلفل أسود","ضعي العدس على نار متوسطة مع كوبين من الماء وورق اللورا، واتركيه يغلي لمدة 20 دقيقة.,ضعي الزيت والبصل في قدر كبير على نار متوسطة، وقلبيه حتى يذبل، ثم أضيفي الدجاج والجزر وقلبي لدقيقتين.,أضيفي الثوم والتوابل وأربعة أكواب ماء، ثم غطي القدر، واتركيه على النار حتى يغلي الخليط.,اخفضي حرارة النار، واتركي الشوربة على نار هادئة لمدة 30 – 40 دقيقة حتى تنضج.,أضيفي العدس والملح والفلفل إلى القدر، واتركيها تغلي على نار هادئة لمدة 20 دقيقة.,ضعي الشوربة في أطباق التقديم، وقدميها ساخنة."
soup,شوربة الفريك باللحم,,,"2000 مل ماء مغلي,0.75 كوب فريك ,500 غ لحم ضأن مقطع مكعبات صغيرة,0.5 كوب حمص منقوع,0.25 كوب كرفس أو كزبرة خضراء مفرومة,1 عدد بصلة متوسطة مفرومة ناعمًا,1 عدد طماطم متوسطة الحجم مقشرة ومفرومة,4 عدد ثوم مهروسة,2 ملعقة كبيرة زيت زيتون,2 ملعقة كبيرة بقدونس مفروم,2 ملعقة كبيرة صلصة طماطم,1 ملعقة كبيرة هريسة فلفل حار,1 ملعقة صغيرة كركم,1 ملعقة صغيرة بابريكا,1 ملعقة صغيرة بهارات مشكلة,حسب الحاجة  ملح,حسب الحاجة  فلفل أسود","انقعي الشعير في ماء فاتر لمدة 30 دقيقة، ثم صفيه واتركيه جانبًا.,سخني الزيت في قدر كبير على نار متوسطة، ثم أضيفي اللحم، وقلبيه حتى يتغير لونه.,أضيفي البصل والثوم، وقلبي لمدة دقيقتين.,أضيفي الطماطم المفرومة والصلصة والهريسة والملح والفلفل الأسود والكركم والبابريكا والبهارات، وقلبي جيدًا حتى تمتزج المكونات.,أضيفي كوبين من الماء المغلي، واتركيه حتى يغلي مع اللحم، ثم أضيفي الحمص، وغطي القدر، واتركيه على نار هادئة لمدة 30 دقيقة.,أضيفي الشعير وقلبي جيدًا، ثم أضيفي باقي الماء المغلي والملح، واتركيه على نار هادئة لمدة 30 – 40 دقيقة، حتى ينضج الشعير واللحم تمامًا.,أضيفي البقدونس، واتركيه يغلي مع الشوربة لمدة دقيقتين، ثم قدمي الشوربة ساخنة."
salad,سلطة المسموطة,,,"1 عدد جزر متوسطة الحجم مقشرة ومقطعة مكعبات,1 عدد بطاطس متوسطة الحجم مقشرة ومقطعة مكعبات صغيرة,1 كوب بازلاء مجمدة,0.25 كوب بقدونس طازج مفروم,0.25 كوب زيتون أخضر أو أسود مقطع شرائح,1 علبة تونة مصفاة من الزيت,3 عدد كبيرة مسلوقة ومقطعة مكعبات صغيرة,2 ملعقة كبيرة زيت زيتون,0.5 ملعقة صغيرة كركم,حسب الذوق  ملح,حسب الذوق  فلفل أسود","ضعي البطاطس والجزر والبازلاء على نار متوسطة، ثم صبي كمية من الماء حتى يُغطي الخضروات.,أضيفي الملح والكركم، واتركي الماء حتى يغلي، ثم غطي القدر، واتركيه على نار هادئة لمدة 25 دقيقة حتى تنضج الخضروات.,صفي الخضروات من الماء، واتركيها تبرد تمامًا، ثم أضيفي البقدونس والزيتون والتونة والبيض والزيت والفلفل الأسود، وقلبي جيدًا.,قدمي سلطة المسموطة على وجبة العشاء مع الخبز، أو كمقبلات مع وجبة الغداء الرئيسية."
main course,الملوخية التونسية,,,"حسب الحاجة  لحم بقري مع عظام,1 كأس كبير ملوخية,3 لتر ماء,300 مل زيت نباتي,2 ملعقة كبيرة كزبرة وكروية ناشفين ومهرسين,1 عدد ثوم مهرس,حسب الذوق  رند,0.5 ملعقة صغيرة فلفل أحمر,0.5 ملعقة صغيرة فلفل أسود,0.5 ملعقة صغيرة ملح,1 بصلة صغيرة مقطعة ناعماً","فويحي اللحم بملعقة كبيرة كزبرة وكروية مهرسين وبصلة صغيرة مقطعة وفلفل أسود وفلفل أحمر وملعقة كبيرة زيت، واتركي اللحم يرتاح.,في هذه الأثناء، ضعي الملوخية في صحفة صغيرة بمقدار 8 ملعقة كبيرة مليئة، ثم صبي الزيت وحركي حتى تحصلي على مزيج سائل ومتجانس.,في قدر كبير، سخني 3 لتر ماء حتى يغلي، ثم صبي مزيج الملوخية وحركي حتى تذوب الملوخية في الماء.,عندما تلاحظين أن المزيج أصبح متجانساً، خففي الحرارة واتركي المزيج يغلي على نار هادئة بين نصف ساعة وساعة.,أضيفي اللحم الذي فويحتيه في الخطوة الأولى إلى القدر واتركيه على نار هادئة لمدة ساعة أخرى أو أقل.,أضيفي بقية المكونات (الرند، الملح، الكزبرة والكروية المهرسين، والثوم المهرس) بعد مرور ساعة.,بعد ثلاث ساعات من بداية الطهي، ستكون الملوخية جاهزة. ستلاحظين أن الزيت يظهر على السطح واللون أصبح أغمق وأكثف.,يمكنك تقديم الملوخية دافئة، وتصبح ألذ إذا تُركت في الثلاجة حتى اليوم التالي."
side dish,الكفتاجي,,,"1 كغ بطاطا,1 عدد فلفل حلو,1 عدد فلفل حار,1 عدد قرع,1 عدد باذنجان,6 عدد طماطم,3 عدد ثوم,1 ملعقة كبيرة طماطم معجونة,حسب الحاجة  ملح,1 ملعقة صغيرة فلفل أسود,1 ملعقة صغيرة راس الحانوت,1 ملعقة صغيرة عكري","قشري البطاطا، الجريوات، الباذنجان، الفلفل الحار، والفلفل الحلو.,قطعي كل المكونات إلى مكعبات صغيرة، ثم قليه كل واحدة على حدة مع رشة ملح.,حضري الصلصة بوضع الطماطم المقطعة مع شرائح الثوم في مقلاة بها الزيت.,اطبخي الطماطم والثوم مع التوابل، ثم أضيفي كأس ماء واتركيها تغلي حتى تتكثف قليلاً.,اخلطي جميع المكونات المقلية مع الصلصة.,قلي البيض، ثم قطعيه وامزجيه مع جميع المكونات.,يمكنك تقلي كل مكون على حدة حسب عدد أفراد العائلة."
main course,الأرز الجربي,,,"1 كوب أرز بسمتي,0.5 صدر دجاج مقطع,1 عدد حبة جزر مقطعة مكعبات,حسب الرغبة  بازلاء,1 عدد بصل,1 عدد  طماطم,1 حزمة بقدونس مفروم,1 حزمة كزبرة مفرومة,1 حزمة صغيرة سبانخ مفرومة,1 ملعقة كبيرة طماطم مصبرة,رشة  زنجبيل,رشة  كزبرة جافة,رشة  فلفل أحمر حلو جاف,1 ملعقة صغيرة ملح,1 قطعة مرق الدجاج,2 ملعقة زيت,1 كوب صغير ماء","حضري إناء وضع فيه ماء ساخن، ثم أضيفي الأرز واتركيه عشر دقائق ثم صفيه.,اخلطي جميع المكونات مع الأرز.,ضعي المكونات في كسكاس، غطيه بكيس غذائي شفاف، ثم ورق المنيوم، وضعيه فوق القدر للطهي.,اتركيه لمدة نصف ساعة، ثم افتحيه وقلبي الأطراف بملعقة، ثم أعيدي تغطيته واتركيه نصف ساعة أخرى.,تفقّدي الماء في القدر، ثم افتحيه لتجديه قد نضج."
appetizer,الفريكاسي,,,"10 ملعقة  طحين غير مملوءة,2 ملعقة سميد ناعم,3 ملعقة كبيرة زيت,1 ملعقة صغيرة خميرة حلوى غير مملوءة,حسب الرغبة  ملح,نصف عدد  بيضة مخفوقة","نخلط جميع المكونات معاً حتى تصبح العجينة أملس ومتجانس.,نترك العجينة ترتاح ربع ساعة.,نفتح العجينة بسمك نصف سم، ثم نقطعها إلى أقراص باستخدام كوب.,نترك الأقراص ترتاح لمدة 5 دقائق.,نسخن الزيت جيداً، ثم نخفّض النار.,نقلي أقراص العجين في الزيت، ونمرر الزيت الساخن بالملعقة من فوقها حتى تنتفخ.,بعد الانتهاء من القلي، نغطي الفريكاسي بفوطة ونتركه يبرد تماماً تحت الفوطة قبل فتحه وحشوه."
appetizer,بريك دنوني,,,"2 كوب سميد أرطب,1 كوب فارينة,3 ملعقة زبدة,حسب الرغبة  ملح,شوية  ماء دافيء, قليل  بيض مسلوق, قليل  تن, قليل  جبن مبشور,حسب الرغبة  ملح,حسب الرغبة  فلفل أسود","نخلط جميع المكونات معاً ونعجنها جيداً.,نفرد العجينة باستخدام القلل، ثم نقطعها إلى دوائر.,نحضر الحشوة بخلط البيض المسلوق، التن، الجبن المبشور، الملح، والفلفل الأسود.,نضع ملعقة صغيرة من الحشو في كل دائرة من العجينة، ثم نلفها.,نقلي البريك الدنوني في الزيت الساخن.,تقدم البريك الدنوني ساخنة."
dessert,recipe_name,,,"2 عدد بيض,500 غ الطحين,250 غ الزبدة,100 غ سكر مطحون,رشة  رشة ملح,5 غ خميرة الحلويات,حسب الذوق  فانيليا,حسب الذوق  شكولاتة,  مربى التين","1. نخلط الزبدة مع السكر حتى يصبح الخليط كريمي.,2. نضيف البيض واحدة تلو الأخرى ونخلط جيداً.,3. نضيف الفانيليا ونخلطها في الخليط.,4. نخلط الطحين مع خميرة الحلويات ثم نضيفه تدريجياً إلى الخليط.,5. نعجن العجينة جيداً حتى نحصل على عجينة ناعمة.,6. نضع العجينة في الثلاجة لمدة 30 دقيقة.,7. نمد العجينة على سطح مرشوش بالدقيق ثم نقطعها باستخدام قوالب.,8. نخبز الصابلي في فرن مُسخن مسبقاً على حرارة 180 درجة مئوية لمدة 10-12 دقيقة.,9. نترك الصابلي ليبرد ثم نملأه بالمربى أو نزينه بالشوكولاتة حسب الرغبة."
dessert,recipe_name,,,"3 كوب السميد المتوسط,2 ملعقة ماء الزهر,50 غ  زبدة ,1.5 كوب  الياغورت,2 ملعقة خميرة الحلويات,2 ملعقة  بيكربونات الصودا,  لوز,  قطر السكر المركز","1. اخلطي الدقيق والملح.,2. أضيفي الماء البارد تدريجياً واعجني حتى يصبح العجين ناعماً.,3. افردي العجين على سطح مرشوش بالدقيق الأبيض العادي.,4. دهن العجين بالزبدة ثم ضعي طبقة من الماركارينا.,5. قومي بطي العجين على شكل طبقات ثم افرديه مرة أخرى.,6. اتركي العجين يرتاح لبضع دقائق.,7. قطعي العجين إلى قطع أو شكل حسب الرغبة.,8. اخبزي القطع في فرن مسخن مسبقاً على درجة حرارة 200 مئوية حتى تصبح ذهبية اللون."
dessert,ميلفاي,4,ساعة,"700 غ دقيق بيتزا,300 غ دقيق عادي,30 غ ملح,400-450 غ ماء بارد,1 غ زبدة,1 غ ماركارينا,300 غ دقيق أبيض للتنظيف","امزج الدقيق والملح.,أضف الماء تدريجياً واعجن العجينة حتى تصبح ناعمة.,افرد الزبدة والماركارينا بين طبقات العجينة.,قلب العجينة وكرر العملية عدة مرات.,استخدم الدقيق الأبيض لتنظيف سطح العمل.,قص العجينة إلى أشكال مناسبة وضعها في الفرن على درجة حرارة متوسطة حتى تنضج وتصبح ذهبية."
appetizer,عين سبنيورية,4,45 دقيقة,"4 عدد بيض,1 ملعقة كبيرة زيت,250 غ لحم مفروم,1 ملعقة صغيرة ملح,1 ملعقة صغيرة فلفل أسود,1 ملعقة صغيرة بهارات دجاج,2 كوب ماء,1 ملعقة كبيرة زيت,1 ملعقة صغيرة كركم","طبخ البيض.,أخذ ورقة الألمنيوم وضع شوية زيت عليها.,ضع اللحم المفروم فوق الزيت، ثم أضف الملح والفلفل الأسود وبهارات الدجاج.,ضع البيض فوق اللحم.,لف ورقة الألمنيوم حول اللحم.,ضع العلبة في وعاء يحتوي على ماء وزيت وكركم."
dessert,عصيدة الزقوقو,4,3 ساعات,"1 ل ماء,300 غ دقيق,50 غ نشاء,200 غ سكر,1 كوب صغير  ماء زهر,1 كيس سكر فانيليا,0.5 لتر حليب سائل,1 علبة حليب مكثف محلى,500 غ زقوقو,2 كيس كريمة,1 لتر حليب,4 ملعقة كبيرة سكر,  حلوى صغيرة ملونة,  حلوى دنيا,  حلوى ملبس,  الكاجو,  الفستق,  الفستق المطحون,  اللوز,  اللوز المقشر,  اللوز المطحون,  الجوز,  جوز الهند المطحون","نقوم بتنظيف الزقوقو من الأوساخ ثم نغسله بالماء و نتركه يجف تحت أشعة الشمس,نقوم بطحن الزقوقو بواسطة فرامة يدوية عديد المرات,نخلط الزقوقو المطحون مع الماء و نتركه ليلة كاملة في إناء مغطى,يصفى الخليط بواسطة منخل للتخلص من القشور,نسكب نصف الخليط في إناء,نضيف إلى الخليط الدقيق و النشاء,نخلط كل المكونات,نضيف النصف الآخر من خليط الزقوقو و الماء,وضع الخليط على النار مع التحريك المتواصل,عندما يتخثر الخليط نضيف الحليب السائل و الحليب المكثف المحلى تدريجيا مع مواصلة التحريك,نضيف السكر,نضيف ماء الزهر و السكر فانيليا ونخلط,نسكب العصيدة في صحون,بعد أن تبرد العصيدة نحضر الكريمة. نخلط الحليب و الكريمة و السكر ثم نضع الخليط فوق النار و نحركه بشكل متواصل حتى يتخثر,ضع طبقة من الكريمة فوق العصيدة,قم بتزيين العصيدة بالمكسرات و الحلوى"
